21,0 21.425.248 12 1.785.437,0 572.512,0 211.264 8.933.184 2.602.747,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.410.752 12 1.784.229,0 564.304,0 212.992 8.922.912 2.600.579,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.381.664 12 1.781.805,0 572.432,0 209.120 8.919.232 2.598.518,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.467.008 12 1.788.917,0 570.368,0 211.776 8.933.056 2.605.096,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.415.040 12 1.784.586,0 564.256,0 209.408 8.921.088 2.600.879,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.448.416 12 1.787.368,0 578.096,0 208.800 8.935.648 2.604.443,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.546.752 12 1.795.562,0 579.408,0 209.152 8.923.168 2.602.479,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.425.376 12 1.785.448,0 567.264,0 211.360 8.914.560 2.601.068,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.469.888 12 1.789.157,0 568.720,0 212.288 8.927.328 2.603.656,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.455.744 12 1.787.978,0 572.848,0 211.680 8.930.208 2.603.057,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
20,0 21.463.520 12 1.788.626,0 572.240,0 212.256 8.916.192 2.598.138,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.397.664 12 1.783.138,0 570.256,0 209.184 8.936.704 2.604.743,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 15.778.592 12 1.314.882,0 407.040,0 154.784 6.685.088 1.949.543,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.423.456 12 1.785.288,0 565.664,0 212.864 8.916.896 2.600.247,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.497.408 12 1.791.450,0 571.568,0 214.400 8.923.456 2.601.997,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.464.896 12 1.788.741,0 575.792,0 213.376 8.918.880 2.599.472,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.559.264 12 1.796.605,0 588.080,0 212.576 8.934.688 2.603.731,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.400.704 12 1.783.392,0 570.576,0 211.840 8.935.264 2.604.015,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.407.168 12 1.783.930,0 570.096,0 212.160 8.921.280 2.601.411,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.441.504 12 1.786.792,0 571.216,0 209.312 8.928.960 2.604.242,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
20,0 21.452.096 12 1.787.674,0 568.240,0 213.408 8.925.056 2.602.079,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.399.968 12 1.783.330,0 570.688,0 211.488 8.921.472 2.598.741,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
20,0 21.466.208 12 1.788.850,0 577.008,0 212.704 8.928.512 2.601.746,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.392.064 12 1.782.672,0 571.296,0 211.776 8.927.648 2.601.550,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.426.688 12 1.785.557,0 575.136,0 210.176 8.918.720 2.600.573,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.345.312 12 1.778.776,0 564.176,0 212.416 8.924.448 2.600.877,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.539.776 12 1.794.981,0 578.256,0 212.096 8.924.480 2.601.443,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.400.640 12 1.783.386,0 568.080,0 212.832 8.928.512 2.601.472,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.454.528 12 1.787.877,0 567.344,0 210.272 8.937.856 2.607.174,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.409.696 12 1.784.141,0 565.344,0 211.840 8.916.352 2.600.284,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.443.552 12 1.786.962,0 574.272,0 208.480 8.937.408 2.604.376,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.442.720 12 1.786.893,0 576.208,0 212.224 8.927.040 2.600.884,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.533.504 12 1.794.458,0 568.208,0 211.488 8.927.296 2.605.845,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.390.400 12 1.782.533,0 567.360,0 211.616 8.918.880 2.599.523,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 21.399.936 12 1.783.328,0 569.056,0 211.296 8.918.592 2.600.315,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
