0,0 108.736 3 36.245,0 35.840,0 34.560 38.336 1.920,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 109.600 3 36.533,0 36.064,0 34.912 38.624 1.900,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 110.592 3 36.864,0 36.352,0 35.136 39.104 2.032,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 109.568 3 36.522,0 35.904,0 35.296 38.368 1.626,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 115.776 3 38.592,0 37.888,0 37.056 40.832 1.984,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 110.080 3 36.693,0 35.872,0 34.560 39.648 2.641,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 114.624 3 38.208,0 38.016,0 36.032 40.576 2.278,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 109.600 3 36.533,0 35.808,0 34.368 39.424 2.604,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 108.640 3 36.213,0 35.872,0 34.272 38.496 2.132,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 115.104 3 38.368,0 37.664,0 36.896 40.544 1.923,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 113.920 3 37.973,0 37.184,0 36.064 40.672 2.403,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 111.168 3 37.056,0 35.840,0 35.840 39.488 2.106,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 108.928 3 36.309,0 36.256,0 34.368 38.304 1.968,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 118.560 3 39.520,0 38.720,0 37.408 42.432 2.605,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 115.232 3 38.410,0 37.344,0 37.024 40.864 2.130,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 110.208 3 36.736,0 36.288,0 35.104 38.816 1.896,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 110.272 3 36.757,0 35.424,0 35.232 39.616 2.477,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 108.608 3 36.202,0 35.712,0 34.464 38.432 2.029,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 108.480 3 36.160,0 35.680,0 34.432 38.368 2.011,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 109.568 3 36.522,0 35.520,0 34.784 39.264 2.402,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 117.472 3 39.157,0 38.560,0 37.056 41.856 2.455,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 108.896 3 36.298,0 35.264,0 34.432 39.200 2.546,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 110.432 3 36.810,0 35.872,0 35.168 39.392 2.263,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 110.144 3 36.714,0 35.456,0 35.104 39.584 2.491,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 108.832 3 36.277,0 35.808,0 34.752 38.272 1.806,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 122.304 3 40.768,0 40.544,0 38.528 43.232 2.360,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 108.672 3 36.224,0 35.904,0 34.464 38.304 1.939,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 114.656 3 38.218,0 37.760,0 36.032 40.864 2.448,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 120.480 3 40.160,0 39.008,0 38.720 42.752 2.249,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 108.640 3 36.213,0 35.904,0 34.304 38.432 2.081,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 108.928 3 36.309,0 35.936,0 34.368 38.624 2.152,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 109.728 3 36.576,0 35.872,0 34.304 39.552 2.693,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 108.096 3 36.032,0 35.520,0 34.336 38.240 2.001,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 108.896 3 36.298,0 35.968,0 34.688 38.240 1.798,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 109.632 3 36.544,0 35.840,0 34.656 39.136 2.321,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 108.960 3 36.320,0 35.968,0 34.464 38.528 2.054,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 114.112 3 38.037,0 37.120,0 36.064 40.928 2.558,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 114.912 3 38.304,0 38.272,0 36.000 40.640 2.320,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 110.176 3 36.725,0 36.320,0 34.624 39.232 2.330,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 109.568 3 36.522,0 36.128,0 34.752 38.688 1.997,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 108.672 3 36.224,0 35.776,0 34.528 38.368 1.958,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 109.568 3 36.522,0 35.808,0 35.264 38.496 1.730,0 CUDA_KERNEL lud_perimeter(float *, int, int)
