48,0 1.153.930.208 10 115.393.020,0 91.756.336,0 86.851.488 215.641.568 50.026.175,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 1.087.741.248 10 108.774.124,0 93.162.064,0 86.910.528 170.144.192 32.441.608,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 1.173.735.616 10 117.373.561,0 94.068.448,0 86.813.184 184.235.488 38.876.023,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 1.246.136.704 10 124.613.670,0 110.016.304,0 90.419.200 177.133.856 37.061.754,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 1.815.402.624 10 181.540.262,0 175.572.992,0 141.490.656 210.542.176 22.404.031,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
48,0 1.893.842.496 10 189.384.249,0 185.911.824,0 154.398.048 225.328.640 23.867.016,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 1.892.904.192 10 189.290.419,0 190.101.376,0 140.462.528 228.522.528 26.165.312,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
48,0 1.946.721.728 10 194.672.172,0 186.825.904,0 167.309.920 227.282.496 19.262.486,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 1.854.877.888 10 185.487.788,0 190.659.824,0 132.941.152 222.560.256 27.339.864,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 1.864.587.040 10 186.458.704,0 182.820.592,0 132.430.464 220.005.504 27.273.051,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 1.948.456.736 10 194.845.673,0 194.175.280,0 151.609.216 243.586.304 26.027.326,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
