0.1 214560 3 71520.0 70752.0 68992 74816 2987.0 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 211808 3 70602.7 69472.0 68704 73632 2651.4 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 214048 3 71349.3 70816.0 69152 74080 2506.9 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 214720 3 71573.3 70624.0 69024 75072 3133.8 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213984 3 71328.0 70336.0 69056 74592 2898.3 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213536 3 71178.7 69696.0 69056 74784 3138.7 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 214592 3 71530.7 70432.0 69120 75040 3109.2 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 214240 3 71413.3 70368.0 69536 74336 2565.1 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 110176 3 36725.3 35904.0 34944 39328 2304.5 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 212896 3 70965.3 69728.0 68640 74528 3133.0 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 214592 3 71530.7 70336.0 69632 74624 2701.9 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213056 3 71018.7 69952.0 68640 74464 3055.0 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213792 3 71264.0 70304.0 68704 74784 3151.6 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213728 3 71242.7 70176.0 68672 74880 3238.5 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 214016 3 71338.7 69856.0 69216 74944 3138.7 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 111296 3 37098.7 36096.0 35776 39424 2020.1 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213184 3 71061.3 69824.0 68736 74624 3133.0 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 212992 3 70997.3 70464.0 68736 73792 2569.8 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 215136 3 71712.0 70944.0 69600 74592 2583.1 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213920 3 71306.7 70464.0 68640 74816 3173.1 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 212800 3 70933.3 69888.0 68768 74144 2836.4 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213440 3 71146.7 69728.0 69184 74528 2940.9 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213728 3 71242.7 69728.0 69216 74784 3077.6 CUDA_KERNEL lud_perimeter(float *, int, int)
