7,0 20.259.488 200 101.297,0 83.424,0 22.560 234.624 77.024,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 16.779.040 200 83.895,0 74.912,0 21.856 174.912 60.402,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 21.366.848 200 106.834,0 84.096,0 22.624 234.720 80.153,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 21.145.888 200 105.729,0 84.160,0 22.560 234.656 79.352,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 21.639.648 200 108.198,0 83.920,0 22.560 234.944 81.333,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 24.658.880 200 123.294,0 85.184,0 22.752 234.816 90.872,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 19.343.072 200 96.715,0 78.480,0 22.592 175.520 68.304,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 21.875.680 200 109.378,0 86.352,0 22.432 235.200 80.632,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 18.206.144 200 91.030,0 78.256,0 22.400 175.392 65.448,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 14.212.832 200 71.064,0 70.800,0 21.664 121.536 49.373,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 18.920.064 200 94.600,0 86.080,0 25.184 175.776 65.850,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 13.909.952 200 69.549,0 69.280,0 21.504 118.656 48.031,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 17.354.752 200 86.773,0 85.488,0 26.368 148.864 60.147,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
