1,0 85.794.304 2.000 42.897,0 41.440,0 40.544 103.552 6.969,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 91.417.120 2.000 45.708,0 43.872,0 42.976 108.736 7.861,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 85.789.216 2.000 42.894,0 41.664,0 39.072 99.840 6.356,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 90.713.696 2.000 45.356,0 43.040,0 41.472 107.360 9.433,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 87.111.584 2.000 43.555,0 43.232,0 40.320 101.696 5.985,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 85.423.072 2.000 42.711,0 41.344,0 40.704 102.560 6.646,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 88.621.504 2.000 44.310,0 42.560,0 41.024 102.752 8.263,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 87.232.096 2.000 43.616,0 41.216,0 40.288 918.496 21.319,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 87.157.888 2.000 43.578,0 42.304,0 41.408 104.928 6.066,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 91.990.528 2.000 45.995,0 44.576,0 41.248 1.755.136 38.661,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 85.211.872 2.000 42.605,0 41.504,0 39.616 104.704 6.418,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 87.940.224 2.000 43.970,0 42.656,0 39.776 102.912 6.982,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 86.878.720 2.000 43.439,0 41.696,0 40.896 102.976 6.995,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 90.067.136 2.000 45.033,0 44.448,0 41.248 103.136 5.527,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 90.579.136 2.000 45.289,0 43.040,0 41.312 1.909.216 42.308,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 88.819.072 2.000 44.409,0 42.848,0 41.248 105.216 7.934,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
