2,0 8.113.024 128 63.383,0 63.360,0 62.368 72.096 951,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.181.312 128 63.916,0 63.616,0 63.168 72.000 929,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.177.312 128 63.885,0 63.792,0 62.432 71.296 960,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.112.000 128 63.375,0 63.104,0 62.272 71.456 1.001,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.213.600 128 64.168,0 64.032,0 63.488 72.704 849,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.179.456 128 63.902,0 63.776,0 63.168 71.712 817,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.094.656 128 63.239,0 63.056,0 62.240 71.744 1.020,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.228.928 128 64.288,0 64.304,0 63.488 73.440 908,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.103.232 128 63.306,0 62.960,0 62.336 71.552 1.079,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 7.975.552 128 62.309,0 63.504,0 48.352 71.840 4.413,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 7.769.856 128 60.702,0 62.944,0 39.360 72.928 7.373,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.119.936 128 63.437,0 63.552,0 62.368 71.232 1.086,0 CUDA_KERNEL lud_diagonal(float *, int, int)
