8,0 366.880 8 45.860,0 46.864,0 18.976 70.816 15.497,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 370.528 8 46.316,0 46.912,0 17.568 73.760 16.429,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 364.736 8 45.592,0 46.784,0 18.144 67.968 14.925,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 362.048 8 45.256,0 46.432,0 17.600 67.648 14.951,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 368.256 8 46.032,0 46.128,0 17.216 75.936 17.125,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
3,0 374.080 8 46.760,0 47.984,0 19.616 72.704 15.671,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 363.648 8 45.456,0 46.816,0 17.888 71.328 15.807,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 370.432 8 46.304,0 46.560,0 18.112 77.024 17.055,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 363.136 8 45.392,0 46.032,0 17.696 70.368 15.587,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 365.248 8 45.656,0 46.672,0 18.560 69.280 15.314,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 371.904 8 46.488,0 47.728,0 18.720 70.784 15.714,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 352.576 8 44.072,0 43.152,0 18.272 74.496 16.699,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 262.688 8 32.836,0 32.656,0 12.928 55.680 12.597,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 358.016 8 44.752,0 46.352,0 17.696 64.000 14.293,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 367.872 8 45.984,0 47.632,0 17.920 70.624 15.745,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 360.768 8 45.096,0 45.840,0 18.496 67.712 14.718,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 264.768 8 33.096,0 33.280,0 10.848 57.280 13.505,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 369.536 8 46.192,0 47.024,0 18.240 69.792 15.586,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 374.208 8 46.776,0 47.536,0 18.272 73.440 16.496,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 360.192 8 45.024,0 46.256,0 17.536 66.272 14.861,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 363.040 8 45.380,0 47.184,0 18.624 66.336 14.802,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
