0,0 335.712 3 111.904,0 112.544,0 110.208 112.960 1.483,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 335.776 3 111.925,0 110.464,0 109.792 115.520 3.131,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 341.600 3 113.866,0 111.968,0 110.592 119.040 4.532,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 338.656 3 112.885,0 112.896,0 112.096 113.664 784,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 336.000 3 112.000,0 112.512,0 110.880 112.608 971,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 348.512 3 116.170,0 113.664,0 113.088 121.760 4.849,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 339.968 3 113.322,0 111.424,0 111.136 117.408 3.540,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 342.432 3 114.144,0 111.104,0 110.240 121.088 6.029,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 340.032 3 113.344,0 113.664,0 112.480 113.888 756,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 343.840 3 114.613,0 108.800,0 108.768 126.272 10.096,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 345.504 3 115.168,0 114.688,0 110.208 120.608 5.216,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 348.896 3 116.298,0 114.528,0 113.920 120.448 3.606,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 333.184 3 111.061,0 111.872,0 109.088 112.224 1.718,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 347.328 3 115.776,0 112.864,0 110.176 124.288 7.493,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 334.432 3 111.477,0 111.328,0 108.576 114.528 2.978,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 347.872 3 115.957,0 115.072,0 112.960 119.840 3.524,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 330.944 3 110.314,0 111.360,0 107.168 112.416 2.775,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 328.224 3 109.408,0 110.080,0 107.040 111.104 2.113,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 327.872 3 109.290,0 108.608,0 108.128 111.136 1.616,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 337.376 3 112.458,0 113.088,0 109.376 114.912 2.821,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 348.224 3 116.074,0 112.384,0 111.264 124.576 7.383,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 333.440 3 111.146,0 111.104,0 110.048 112.288 1.120,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 331.520 3 110.506,0 110.848,0 108.608 112.064 1.753,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 331.168 3 110.389,0 110.368,0 108.480 112.320 1.920,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 330.144 3 110.048,0 110.304,0 108.096 111.744 1.837,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
