39,0 49.114.720 100 491.147,0 395.648,0 317.280 2.460.384 409.461,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
44,0 76.280.800 100 762.808,0 789.936,0 360.288 874.208 124.842,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
38,0 39.612.000 100 396.120,0 395.552,0 393.664 443.904 4.936,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
37,0 51.295.904 100 512.959,0 396.560,0 391.936 2.805.856 415.022,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
37,0 34.974.304 100 349.743,0 349.184,0 346.080 397.696 4.983,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
40,0 38.495.360 100 384.953,0 375.648,0 317.280 2.837.216 250.561,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
38,0 39.626.432 100 396.264,0 395.792,0 393.568 445.792 5.085,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
41,0 68.214.944 100 682.149,0 760.912,0 357.152 815.872 167.486,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
37,0 31.967.232 100 319.672,0 319.184,0 316.000 369.984 5.208,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
40,0 47.005.888 100 470.058,0 377.568,0 367.552 1.432.448 277.515,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
