1,0 3.259.680 12 271.640,0 299.856,0 194.464 342.112 64.886,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.268.640 12 272.386,0 302.352,0 195.264 345.024 65.716,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.264.032 12 272.002,0 301.248,0 194.464 343.008 65.626,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.285.728 12 273.810,0 306.304,0 194.688 344.256 65.468,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.274.560 12 272.880,0 302.176,0 194.656 344.672 65.082,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.265.408 12 272.117,0 301.376,0 194.656 345.056 65.458,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.267.200 12 272.266,0 302.416,0 194.944 343.968 65.891,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.267.584 12 272.298,0 302.080,0 194.400 343.680 65.560,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.270.272 12 272.522,0 303.600,0 194.208 341.536 65.325,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.273.024 12 272.752,0 300.336,0 194.656 344.640 64.970,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.287.584 12 273.965,0 297.136,0 194.976 342.176 62.544,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
