28,0 11.270.080 1 11.270.080,0 11.270.080,0 11.270.080 11.270.080 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 11.273.280 1 11.273.280,0 11.273.280,0 11.273.280 11.273.280 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 11.273.792 1 11.273.792,0 11.273.792,0 11.273.792 11.273.792 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 11.275.136 1 11.275.136,0 11.275.136,0 11.275.136 11.275.136 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
28,0 11.274.080 1 11.274.080,0 11.274.080,0 11.274.080 11.274.080 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 11.272.576 1 11.272.576,0 11.272.576,0 11.272.576 11.272.576 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
28,0 11.270.304 1 11.270.304,0 11.270.304,0 11.270.304 11.270.304 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 11.273.248 1 11.273.248,0 11.273.248,0 11.273.248 11.273.248 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 11.272.704 1 11.272.704,0 11.272.704,0 11.272.704 11.272.704 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 11.271.712 1 11.271.712,0 11.271.712,0 11.271.712 11.271.712 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
28,0 11.272.032 1 11.272.032,0 11.272.032,0 11.272.032 11.272.032 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
28,0 11.272.032 1 11.272.032,0 11.272.032,0 11.272.032 11.272.032 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 11.270.752 1 11.270.752,0 11.270.752,0 11.270.752 11.270.752 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 11.273.472 1 11.273.472,0 11.273.472,0 11.273.472 11.273.472 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 11.271.232 1 11.271.232,0 11.271.232,0 11.271.232 11.271.232 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 11.272.992 1 11.272.992,0 11.272.992,0 11.272.992 11.272.992 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 11.271.040 1 11.271.040,0 11.271.040,0 11.271.040 11.271.040 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
